,0
V14,0.18939631651222705
V10,0.12085797842794156
V12,0.10238495687808066
V4,0.10128859033543373
V17,0.0895855741984513
V3,0.07793026992225596
V11,0.047704637936093856
V2,0.03889715575877833
V16,0.03783942187597436
V9,0.026332536102004415
V7,0.022202023770527667
V21,0.015239946399377527
V18,0.012681184429880058
V19,0.011733277959357507
V1,0.00901683613178224
V6,0.009012383186183076
V20,0.00863176030420636
V8,0.00856602280210325
Amount,0.007696394859455874
V27,0.0076172192470086
V5,0.006993472743399257
V26,0.006973423497277873
V15,0.0068048461341654425
V22,0.00588336379999712
V13,0.005634053173414168
V23,0.005166614701414999
V24,0.005061614660994526
V25,0.004531177812732845
V28,0.0043278091500307805
Time,0.004009137289449604
